temperature,label,delay
-0.4366861785217816,1.0,-1.1817499348444773
-0.43670489642068777,1.0,-1.1817499348444773
2.1766841651682043,1.0,-1.1817499348444773
-0.4367075704062458,1.0,-1.1817499348444773
-0.43670489642068777,1.0,-1.1817499348444773
-0.43670489642068777,1.0,-1.1817499348444773
-0.4367075704062458,1.0,-1.1817499348444773
-0.4367075704062458,1.0,-1.1817499348444773
-0.4367075704062458,1.0,-1.1817499348444773
-0.4367089073990248,1.0,-1.1817499348444773
-0.4367115813845829,1.0,-1.1817499348444773
-0.4367115813845829,1.0,-1.1817499348444773
-0.43671291837736187,1.0,-1.1817499348444773
-0.43671291837736187,1.0,-1.1817499348444773
-0.4367142553701409,1.0,-1.1817499348444773
-0.4367142553701409,1.0,-1.1817499348444773
-0.4367155923629199,1.0,-1.1817499348444773
-0.43671826634847793,1.0,-1.1817499348444773
-0.43671826634847793,1.0,-1.1817499348444773
-0.43671826634847793,1.0,-1.1817499348444773
-0.4367155923629199,1.0,-1.1817499348444773
-0.436724951312373,1.0,-1.1817499348444773
-0.436724951312373,1.0,-1.1817499348444773
-0.436726288305152,1.0,-1.1817499348444773
-0.436726288305152,1.0,-1.1817499348444773
-0.436726288305152,1.0,-1.1817499348444773
-0.436727625297931,1.0,-1.1817499348444773
-0.436726288305152,1.0,-1.1817499348444773
-0.43672896229071,1.0,-1.1817499348444773
-0.43673163627626804,1.0,-1.1817499348444773
2.149944309587939,1.0,-1.1817499348444773
2.149944309587939,1.0,-1.1817499348444773
-0.43673163627626804,1.0,-1.1817499348444773
-0.43672896229071,1.0,-1.1817499348444773
2.149944309587939,1.0,-1.1817499348444773
-0.43672896229071,0.0,-1.1817499348444773
-0.43673163627626804,0.0,-1.1817499348444773
-0.43673297326904703,0.0,-1.1817499348444773
-0.43673297326904703,0.0,-1.1817499348444773
-0.43673163627626804,0.0,-1.1817499348444773
-0.43673564725460506,0.0,-1.1817499348444773
-0.4367369842473841,0.0,-1.1817499348444773
-0.4367383212401631,0.0,-1.1817499348444773
-0.4367396582329421,0.0,-1.1817499348444773
-0.43674099522572113,0.0,-1.1817499348444773
-0.43674099522572113,0.0,-1.1817499348444773
-0.4367396582329421,0.0,-1.1817499348444773
-0.43674099522572113,0.0,-1.1817499348444773
-0.4367423322185001,0.0,-1.1817499348444773
-0.43674099522572113,0.0,-1.1817499348444773
-0.4367396582329421,0.0,-1.1817499348444773
-0.4367423322185001,0.0,-1.1817499348444773
-0.43674500620405815,0.0,-1.1817499348444773
-0.43675169116795326,0.0,-1.1817499348444773
-0.4367530281607323,0.0,-1.1817499348444773
-0.4367530281607323,0.0,-1.1817499348444773
-0.4367543651535113,0.0,-1.1817499348444773
-0.4367557021462903,0.0,-1.1817499348444773
-0.4367557021462903,0.0,-1.1817499348444773
-0.4367583761318483,0.0,-1.1817499348444773
-0.4367583761318483,0.0,-1.1817499348444773
-0.4367557021462903,0.0,-1.1817499348444773
-0.4367583761318483,0.0,-1.1817499348444773
-0.43676105011740635,0.0,-1.1817499348444773
-0.4367583761318483,0.0,-1.1817499348444773
-0.43675971312462736,0.0,-1.1817499348444773
-0.43676105011740635,0.0,-1.1817499348444773
-0.43676506109574337,0.0,-1.1817499348444773
2.116519490112607,0.0,-1.1817499348444773
-0.43676506109574337,0.0,-1.1817499348444773
